,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol
AFFX-r2-Bs-dap-M_at,-3.980536147,6.978444496,-6.730521111,1.49E-07,1.24E-05,7.428142746,NA
AFFX-r2-Bs-dap-3_at,-3.784129438,7.845842179,-6.835680117,1.11E-07,1.01E-05,7.713827494,NA
AFFX-DapX-M_at,-3.578225029,7.249155957,-6.662150984,1.81E-07,1.40E-05,7.241844163,NA
AFFX-DapX-3_at,-3.492667409,7.702449711,-6.955168562,7.97E-08,7.99E-06,8.037120076,NA
AFFX-r2-Bs-dap-5_at,-3.291520757,6.183198063,-6.050648033,1.02E-06,4.78E-05,5.558861657,NA
AFFX-r2-Bs-thr-3_s_at,-2.98395774,6.756900839,-7.084561425,5.56E-08,6.16E-06,8.385546771,NA
AFFX-DapX-5_at,-2.783589217,5.95425364,-6.003262779,1.17E-06,5.27E-05,5.427415564,NA
228697_at,-2.712239428,6.965525031,-13.34338078,1.86E-14,8.50E-10,22.55753302,HINT3
201123_s_at,-2.656915693,7.915013295,-5.859269136,1.77E-06,7.13E-05,5.027316998,EIF5A
AFFX-r2-Bs-phe-M_at,-2.564446231,5.039367831,-6.5732329,2.32E-07,1.65E-05,6.998926816,NA
AFFX-ThrX-3_at,-2.492592142,6.258123771,-7.212964147,3.90E-08,4.78E-06,8.729517561,NA
AFFX-r2-Bs-phe-5_at,-2.296933154,4.98893929,-6.457283078,3.22E-07,2.10E-05,6.681147954,NA
AFFX-ThrX-M_at,-2.276045507,5.186377099,-6.365263757,4.18E-07,2.55E-05,6.428189219,NA
AFFX-r2-Bs-thr-M_s_at,-2.147289016,6.415987928,-6.353695202,4.32E-07,2.60E-05,6.396342113,NA
AFFX-r2-Bs-lys-3_at,-2.11772614,5.076125178,-7.064688351,5.88E-08,6.41E-06,8.332148626,NA
AFFX-r2-Bs-phe-3_at,-2.113155286,6.474186706,-7.271127915,3.32E-08,4.26E-06,8.884722277,NA
AFFX-LysX-3_at,-2.071378871,5.779743082,-6.984431524,7.35E-08,7.53E-06,8.116073097,NA
215838_at,-2.008646052,6.615408859,-8.742386031,6.61E-10,3.12E-07,12.66886413,LILRA5
226319_s_at,-1.981387065,7.195591216,-8.427030027,1.50E-09,5.57E-07,11.88214455,ALYREF
AFFX-r2-Bs-lys-5_at,-1.981016052,4.109567124,-6.301351568,5.01E-07,2.89E-05,6.252123418,NA
